@relation bus
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute class {'bus'}
@data
1.0673523,-9.456528,-0.66667175,'bus'
1.2185059,-9.550552,-0.5071869,'bus'
1.136383,-9.712418,-0.85472107,'bus'
0.91500854,-9.591019,-0.8035431,'bus'
1.2018433,-9.588638,-0.2584381,'bus'
1.5493774,-9.787399,-0.76664734,'bus'
1.5005798,-9.501755,-0.9844513,'bus'
1.4851074,-9.6862335,-1.123703,'bus'
1.5362854,-10.1801605,-0.5405121,'bus'
1.6969604,-9.870712,-0.70832825,'bus'
2.0266418,-9.208969,-0.6226349,'bus'
1.8897705,-9.387497,-0.55122375,'bus'
1.7695618,-9.373215,-0.8023529,'bus'
1.2232666,-9.913559,-1.0391998,'bus'
1.7160034,-10.190872,-1.6759491,'bus'
1.7719421,-10.128983,-2.2758026,'bus'
1.9516602,-9.896896,-2.3281708,'bus'
2.033783,-9.752884,-1.848526,'bus'
1.8469238,-9.771927,-1.566452,'bus'
1.4172668,-9.449387,-1.335556,'bus'
1.1375732,-9.286331,-1.2689056,'bus'
1.1732788,-9.269669,-1.3426971,'bus'
1.418457,-9.183975,-1.3760223,'bus'
1.5957947,-9.073288,-1.8699493,'bus'
1.8362122,-9.118515,-2.1734467,'bus'
1.9623718,-9.111374,-2.4293365,'bus'
1.7112427,-9.232773,-2.4210052,'bus'
1.5231934,-9.147079,-2.4471893,'bus'
1.4494019,-8.984024,-2.6364288,'bus'
1.3244324,-8.981644,-2.406723,'bus'
1.1887512,-8.774551,-2.1270294,'bus'
0.99594116,-8.674576,-2.1579742,'bus'
1.045929,-8.641251,-2.1163177,'bus'
1.1459045,-8.669815,-2.104416,'bus'
1.2958679,-8.617447,-2.053238,'bus'
2.2123108,-9.229202,-2.3115082,'bus'
1.8504944,-9.805252,-2.3852997,'bus'
2.2111206,-9.771927,-2.9744415,'bus'
1.7219543,-10.3467865,-2.701889,'bus'
0.8852539,-10.257523,0.045059204,'bus'
-0.5001221,-9.749313,-0.091812134,'bus'
-0.2989807,-9.625534,0.005783081,'bus'
-0.2263794,-9.641006,-0.17393494,'bus'
-0.4477539,-9.635056,0.053390503,'bus'
-0.5881958,-9.700516,-0.29057312,'bus'
-0.98809814,-9.787399,-0.026351929,'bus'
-0.9238281,-9.694565,-0.5321808,'bus'
-0.9976196,-9.894516,-0.27272034,'bus'
-1.1106873,-10.05043,0.05696106,'bus'
-1.0928345,-10.096848,0.049819946,'bus'
-1.1452026,-9.85405,-0.135849,'bus'
-0.94525146,-9.980209,0.031967163,'bus'
-0.54296875,-10.070663,-0.71784973,'bus'
-0.8440857,-9.696945,-0.28581238,'bus'
-1.0785522,-9.60054,0.042678833,'bus'
-1.1630554,-9.347031,0.36045837,'bus'
-1.2725525,-9.238724,0.91508484,'bus'
-0.91311646,-9.311325,0.83177185,'bus'
-0.85717773,-9.176834,0.6377716,'bus'
-0.9428711,-9.266098,0.45210266,'bus'
-1.0761719,-9.518417,0.61753845,'bus'
-1.5439148,-9.776688,0.053390503,'bus'
-1.8164673,-9.8528595,-0.03944397,'bus'
-1.5498657,-9.930222,-0.2096405,'bus'
-1.4260864,-9.881424,-0.056106567,'bus'
-1.2070923,-9.751694,-0.21202087,'bus'
-1.0571289,-9.651718,-0.3500824,'bus'
-1.3225403,-9.439865,0.02482605,'bus'
-1.2416077,-9.441055,0.74131775,'bus'
-1.3677673,-9.450577,0.59254456,'bus'
-1.0999756,-9.376785,0.14860535,'bus'
-0.9916687,-9.383926,-0.094192505,'bus'
-1.1690063,-9.432724,-0.22511292,'bus'
-1.3189697,-9.668381,-0.3322296,'bus'
-1.57724,-9.7267,-0.37983704,'bus'
-1.5522461,-9.633865,0.016494751,'bus'
-1.4558411,-9.666,0.20692444,'bus'
-1.4903564,-9.608871,0.24739075,'bus'
-1.4701233,-9.47081,0.4973297,'bus'
-1.493927,-9.424393,0.4080658,'bus'
-1.4570312,-9.411301,0.29856873,'bus'
-1.4927368,-9.461288,0.18907166,'bus'
-1.5950928,-9.504135,0.5223236,'bus'
-1.5605774,-9.832626,0.72465515,'bus'
-1.4260864,-9.996872,0.7770233,'bus'
-1.7283936,-9.949265,0.46281433,'bus'
-1.9866638,-10.444382,0.33784485,'bus'
-1.9188232,-11.087082,0.4080658,'bus'
-1.6319885,-10.890701,0.10932922,'bus'
-1.2380371,-10.777634,-0.16203308,'bus'
-0.44537354,-10.269424,-0.37269592,'bus'
-0.3239746,-9.98497,-0.39530945,'bus'
0.21875,-9.527939,-0.09062195,'bus'
1.2839661,-9.254196,-0.17869568,'bus'
1.3506165,-9.425583,0.12956238,'bus'
0.53533936,-9.543411,0.20573425,'bus'
0.3591919,-9.937363,0.5651703,'bus'
0.046173096,-10.271805,0.8531952,'bus'
0.048553467,-10.427719,0.7282257,'bus'
0.65792847,-10.140884,-0.2346344,'bus'
0.90786743,-10.128983,-0.29057312,'bus'
1.0411682,-10.377731,0.29618835,'bus'
1.0066528,-10.719315,0.40330505,'bus'
0.9364319,-10.6098175,0.80677795,'bus'
0.532959,-9.91951,0.43067932,'bus'
0.18780518,-9.505325,0.090286255,'bus'
-0.0026245117,-9.373215,0.24858093,'bus'
0.35443115,-9.256577,0.24024963,'bus'
0.7698059,-9.105423,0.023635864,'bus'
0.99594116,-9.15065,-0.39411926,'bus'
1.0054626,-9.185165,-0.9654083,'bus'
1.0530701,-9.411301,-1.4081573,'bus'
1.0185547,-9.620773,-1.0356293,'bus'
0.050933838,-9.954025,-0.4726715,'bus'
0.2020874,-10.128983,-1.630722,'bus'
1.0542603,-9.901657,-2.8185272,'bus'
0.74957275,-9.838577,-3.0684662,'bus'
0.46392822,-9.998062,-2.227005,'bus'
0.6127014,-9.961166,-1.1915436,'bus'
0.6888733,-9.370834,-0.63334656,'bus'
0.7055359,-9.045914,-0.5821686,'bus'
0.500824,-8.9483185,-0.8118744,'bus'
0.5079651,-9.094711,-1.2236786,'bus'
0.69363403,-9.34108,-1.7414093,'bus'
1.0256958,-9.376785,-2.0687103,'bus'
1.3458557,-9.035202,-1.9116058,'bus'
1.270874,-9.099472,-2.0044403,'bus'
0.89120483,-9.361313,-2.1186981,'bus'
0.7519531,-9.260147,-2.2317657,'bus'
0.9269104,-9.263718,-2.3067474,'bus'
1.039978,-9.329178,-2.2567596,'bus'
0.8590698,-9.333939,-2.342453,'bus'
0.65078735,-9.089951,-2.58049,'bus'
0.8459778,-9.045914,-2.7816315,'bus'
1.0982971,-9.011398,-2.6983185,'bus'
0.9376221,-8.900711,-2.4483795,'bus'
0.7698059,-8.728134,-2.1639252,'bus'
0.67578125,-8.856674,-1.4926605,'bus'
0.744812,-8.866196,-1.053482,'bus'
0.9423828,-8.724564,-1.0427704,'bus'
1.0947266,-8.95665,-1.2534332,'bus'
1.059021,-9.289902,-1.5438385,'bus'
1.007843,-9.364883,-1.7176056,'bus'
1.0756836,-9.639816,-1.7235565,'bus'
1.6279297,-9.908798,-1.1463165,'bus'
1.8742981,-10.025436,-0.9844513,'bus'
1.815979,-10.508652,-0.8761444,'bus'
1.8647766,-11.711929,0.26286316,'bus'
1.4029846,-13.113968,-0.035873413,'bus'
1.8005066,-12.834274,-4.5954742,'bus'
0.83883667,-10.458664,-7.103195,'bus'
-0.11569214,-8.4032135,-4.2134247,'bus'
-0.7262573,-8.691238,2.7086945,'bus'
-1.6343689,-9.324417,6.437546,'bus'
-0.74172974,-9.373215,4.278549,'bus'
-1.0975952,-9.183975,0.9579315,'bus'
-1.1333008,-9.319656,-0.056106567,'bus'
-1.2035217,-10.156357,-0.20249939,'bus'
-0.6048584,-10.396774,0.38545227,'bus'
-0.014526367,-9.890945,0.37712097,'bus'
-0.28588867,-9.574356,0.034347534,'bus'
-0.6524658,-9.671951,0.13908386,'bus'
-1.3832397,-9.883804,0.39378357,'bus'
-0.06808472,-9.763596,0.56993103,'bus'
-0.66674805,-9.525558,0.9008026,'bus'
-0.9821472,-9.525558,1.0138702,'bus'
-1.2642212,-9.476761,1.1328888,'bus'
-1.2380371,-9.556503,1.0007782,'bus'
-1.2070923,-9.551743,0.7032318,'bus'
-1.1535339,-9.625534,0.4330597,'bus'
-1.1713867,-9.718369,0.25810242,'bus'
-0.83218384,-9.736221,0.44496155,'bus'
-0.6953125,-9.742172,0.6199188,'bus'
-0.87265015,-9.861191,0.55326843,'bus'
-1.3023071,-9.886185,1.1900177,'bus'
-1.346344,-9.807632,1.2649994,'bus'
-1.0773621,-9.835007,0.4580536,'bus'
-0.94644165,-9.642197,0.2271576,'bus'
-0.9071655,-9.526749,0.5128021,'bus'
-1.1142578,-9.633865,0.87461853,'bus'
-1.4022827,-9.748123,0.91270447,'bus'
-1.5355835,-9.72789,0.72584534,'bus'
-1.2844543,-9.53627,0.4901886,'bus'
-1.0285645,-9.412491,0.3080902,'bus'
-1.2975464,-9.514847,0.37236023,'bus'
-1.3046875,-9.780258,0.47590637,'bus'
-1.1523438,-9.752884,0.18788147,'bus'
-1.558197,-9.7374115,0.42829895,'bus'
-1.4320374,-9.785019,0.34498596,'bus'
-1.4129944,-9.761215,0.34736633,'bus'
-1.6629333,-9.798111,0.61872864,'bus'
-1.6081848,-9.748123,0.52589417,'bus'
-1.2154236,-9.531509,0.4663849,'bus'
-1.3153992,-9.40416,0.39497375,'bus'
-1.4570312,-9.573166,0.43067932,'bus'
-1.4439392,-9.765976,0.5330353,'bus'
-1.5236816,-9.786209,0.5735016,'bus'
-1.6296082,-9.767166,-0.12513733,'bus'
-1.3820496,-10.007584,-0.21678162,'bus'
-0.85598755,-9.613632,0.068862915,'bus'
-1.0559387,-9.294662,0.17002869,'bus'
-1.4951172,-9.258957,0.55326843,'bus'
-1.8378906,-9.649338,-0.020401001,'bus'
-2.790039,-9.776688,-0.09300232,'bus'
-2.3699036,-9.551743,0.06767273,'bus'
-0.42276,-9.9683075,0.18074036,'bus'
-0.47512817,-9.824295,-0.42030334,'bus'
-0.916687,-9.7267,-0.18107605,'bus'
-0.589386,-9.782639,0.11528015,'bus'
-0.90478516,-9.531509,0.3509369,'bus'
-1.3392029,-9.480331,0.7306061,'bus'
-1.1463928,-9.466049,0.66871643,'bus'
-1.2011414,-9.669571,0.15931702,'bus'
-1.0714111,-9.475571,-0.09895325,'bus'
-0.79885864,-9.489853,0.16764832,'bus'
-0.8190918,-9.637436,-0.39530945,'bus'
-1.263031,-9.619583,-0.18702698,'bus'
-1.1820984,-9.624344,0.3176117,'bus'
-1.185669,-9.546982,0.29737854,'bus'
-1.359436,-9.699326,0.1438446,'bus'
-1.4391785,-9.785019,-0.23106384,'bus'
-1.3641968,-9.702896,-0.55003357,'bus'
-1.2427979,-9.881424,-0.6440582,'bus'
-1.4772644,-9.829056,-0.578598,'bus'
-1.6843567,-9.85762,-0.23582458,'bus'
-1.9664307,-9.573166,-0.00016784668,'bus'
-2.0152283,-9.477951,0.37355042,'bus'
-1.8521729,-9.501755,0.76750183,'bus'
-1.7022095,-9.41011,-0.05253601,'bus'
-1.5748596,-9.595779,0.19978333,'bus'
-2.211609,-9.932602,0.7841644,'bus'
-2.0402222,-10.125412,0.36997986,'bus'
-1.5558167,-10.026627,-0.37031555,'bus'
-1.1499634,-10.187302,-0.19416809,'bus'
-0.2835083,-10.226578,0.08076477,'bus'
0.3580017,-10.402725,-0.5488434,'bus'
0.56033325,-10.465805,-1.1201324,'bus'
0.72457886,-10.384872,-0.74879456,'bus'
1.3791809,-9.952835,-0.14537048,'bus'
1.4981995,-9.338699,0.14265442,'bus'
0.43536377,-9.226822,-0.23701477,'bus'
-0.1026001,-9.443436,0.704422,'bus'
0.041412354,-9.7885895,0.44615173,'bus'
-0.007385254,-10.277756,-0.32151794,'bus'
1.0066528,-10.481277,-0.89042664,'bus'
1.1637573,-10.214676,-0.7702179,'bus'
1.2304077,-10.143265,-0.45362854,'bus'
0.8031311,-9.898087,0.40449524,'bus'
0.78408813,-9.861191,0.77345276,'bus'
1.1018677,-10.390823,-0.5643158,'bus'
0.2354126,-10.237289,-0.8202057,'bus'
0.9995117,-9.561264,0.14146423,'bus'
0.8019409,-8.76622,0.44615173,'bus'
-0.22280884,-8.76503,0.45924377,'bus'
-0.916687,-9.045914,0.62467957,'bus'
-0.59295654,-9.657669,2.032669,'bus'
3.9380798,-9.074478,1.5268402,'bus'
2.0230713,-9.097092,-0.8844757,'bus'
0.42941284,-9.605301,-0.5417023,'bus'
0.39608765,-9.680283,0.13908386,'bus'
1.0804443,-9.723129,-0.6702423,'bus'
0.8614502,-10.054001,-0.80711365,'bus'
0.9768982,-10.100418,-0.65953064,'bus'
1.2161255,-10.0516205,-0.7797394,'bus'
1.469635,-9.889755,-1.0582428,'bus'
2.1159058,-9.994492,-2.6233368,'bus'
2.6907654,-10.267044,-3.0779877,'bus'
1.9004822,-10.098038,-2.9851532,'bus'
1.1256714,-10.128983,-2.3198395,'bus'
0.6793518,-10.130173,-1.2320099,'bus'
0.7388611,-10.710983,-2.5697784,'bus'
0.5389099,-10.658615,-2.6840363,'bus'
0.51272583,-10.152786,-1.7699738,'bus'
0.70196533,-9.398209,-0.83210754,'bus'
0.334198,-9.551743,-0.7547455,'bus'
0.49725342,-9.612442,-1.2617645,'bus'
0.7519531,-9.4743805,-0.8499603,'bus'
0.7221985,-9.21492,-0.5631256,'bus'
1.0661621,-9.100662,-0.9189911,'bus'
0.86502075,-9.060196,-1.4212494,'bus'
1.2161255,-8.975693,-1.7902069,'bus'
1.9135742,-8.928085,-2.0460968,'bus'
2.021881,-9.585068,-3.0660858,'bus'
1.6802979,-9.735031,-2.681656,'bus'
0.79956055,-9.312515,-2.7411652,'bus'
0.70791626,-8.526993,-2.2639008,'bus'
0.46987915,-8.899521,-2.2639008,'bus'
0.08544922,-9.242294,-2.2174835,'bus'
0.17233276,-9.368454,-2.4340973,'bus'
0.046173096,-9.3267975,-2.6042938,'bus'
0.09140015,-8.881668,-2.3793488,'bus'
0.366333,-8.835251,-2.2698517,'bus'
0.2592163,-8.738846,-2.4079132,'bus'
0.067596436,-8.7816925,-2.5507355,'bus'
-0.33111572,-8.756699,-2.143692,'bus'
-0.2501831,-8.964981,-2.2293854,'bus'
0.12591553,-8.981644,-2.669754,'bus'
0.09259033,-9.283951,-3.2612762,'bus'
0.10092163,-9.46843,-2.842331,'bus'
0.35205078,-9.402969,-2.6661835,'bus'
0.65792847,-9.272049,-2.7578278,'bus'
0.18185425,-9.178024,-3.0053864,'bus'
-0.3501587,-8.872147,-3.118454,'bus'
-0.3239746,-8.8971405,-3.1803436,'bus'
-0.307312,-9.786209,-2.8339996,'bus'
-0.1513977,-10.159927,-2.663803,'bus'
-0.2513733,-10.389633,-2.9946747,'bus'
-0.5286865,-10.978775,-3.2112885,'bus'
-1.1142578,-11.46199,-3.4362335,'bus'
-1.802185,-10.94545,-3.631424,'bus'
-1.9640503,-9.9683075,-2.1996307,'bus'
-0.98095703,-9.467239,0.3176117,'bus'
-0.0942688,-9.924271,0.7032318,'bus'
1.0161743,-9.670761,-1.1570282,'bus'
0.19018555,-9.752884,-1.6319122,'bus'
-1.0571289,-9.40535,-0.60954285,'bus'
-1.8200378,-9.641006,-0.23225403,'bus'
-2.006897,-9.755264,-0.8297272,'bus'
-1.2642212,-9.576736,-1.1094208,'bus'
-0.57629395,-9.454147,-0.6285858,'bus'
-0.20733643,-9.15303,0.053390503,'bus'
-0.5477295,-9.093521,0.09385681,'bus'
-1.1832886,-9.162552,0.54255676,'bus'
-1.5950928,-9.41011,0.39497375,'bus'
-1.6676941,-9.812393,0.41877747,'bus'
-1.7688599,-9.896896,0.88414,'bus'
-1.5367737,-9.955215,0.505661,'bus'
-0.7845764,-9.719559,-0.32746887,'bus'
-0.3918152,-9.623154,-0.2346344,'bus'
-0.44180298,-9.593399,0.03553772,'bus'
