"user","x","y","z","class"
"1",-0.65841675,5.9920807,-8.113663,"bus"
"1",-0.14068604,5.563614,-8.307663,"bus"
"1",0.046173096,5.383896,-9.44429,"bus"
"1",-0.74768066,6.3515167,-8.681381,"bus"
"1",-1.0333252,5.1898956,-7.820877,"bus"
"1",-1.198761,5.255356,-9.084854,"bus"
"1",-1.2297058,5.8956757,-10.002487,"bus"
"1",-1.7176819,5.429123,-8.830154,"bus"
"1",-0.76434326,5.2029877,-8.844437,"bus"
"1",0.15209961,6.0039825,-9.537125,"bus"
"1",0.21279907,6.0218353,-7.941086,"bus"
"1",0.1449585,5.193466,-7.895859,"bus"
"1",-0.27160645,4.780472,-7.4209747,"bus"
"1",-0.9857178,4.8233185,-8.694473,"bus"
"1",-1.57724,3.9937592,-7.9208527,"bus"
"1",-1.5986633,4.090164,-9.044388,"bus"
"1",-1.9461975,4.249649,-8.327896,"bus"
"1",-2.0830688,4.287735,-8.177933,"bus"
"1",-1.3677673,4.4246063,-9.12056,"bus"
"1",-1.2677917,4.744766,-8.594498,"bus"
"1",-0.8583679,5.4445953,-9.082474,"bus"
"1",-0.788147,5.53981,-8.767075,"bus"
"1",-0.9107361,5.21727,-8.967026,"bus"
"1",-0.8607483,5.398178,-9.162216,"bus"
"1",-1.4344177,6.0099335,-9.174118,"bus"
"1",-1.2594604,4.994705,-7.395981,"bus"
"1",-0.91192627,4.5614777,-8.952744,"bus"
"1",-0.7964783,4.8542633,-8.887283,"bus"
"1",-0.8452759,4.4507904,-8.050583,"bus"
"1",-0.64175415,5.0673065,-9.050339,"bus"
"1",-0.76672363,5.865921,-9.295517,"bus"
"1",-1.2427979,5.0208893,-8.727798,"bus"
"1",-0.9940491,4.300827,-7.992264,"bus"
"1",-1.1785278,3.5783844,-7.9339447,"bus"
"1",-1.429657,4.249649,-8.919418,"bus"
"1",-1.2915955,3.9318695,-7.6566315,"bus"
"1",-0.916687,4.0675507,-8.432632,"bus"
"1",-1.1630554,4.7411957,-8.196976,"bus"
"1",-1.0380859,4.135391,-7.2650604,"bus"
"1",-1.1368713,4.397232,-8.365982,"bus"
"1",-0.9833374,5.712387,-9.939407,"bus"
"1",-1.0404663,5.4255524,-8.601639,"bus"
"1",-1.1213989,5.898056,-9.807297,"bus"
"1",-1.0011902,4.3543854,-8.191025,"bus"
"1",-1.3415833,4.0913544,-8.367172,"bus"
"1",-1.6177063,4.8090363,-8.188644,"bus"
"1",-1.2594604,4.9709015,-8.849197,"bus"
"1",-0.8024292,5.505295,-9.25029,"bus"
"1",-0.51916504,5.5683746,-8.917038,"bus"
"1",-0.6131897,5.7980804,-9.595444,"bus"
"1",-1.1106873,5.499344,-9.37645,"bus"
"1",-1.4629822,4.4769745,-8.250534,"bus"
"1",-1.6498413,4.5912323,-8.8242035,"bus"
"1",-1.2523193,4.6685944,-8.489761,"bus"
"1",-1.2606506,3.608139,-7.1627045,"bus"
"1",-1.7331543,3.5069733,-6.3367157,"bus"
"1",-0.60009766,4.4722137,-10.216721,"bus"
"1",-0.92977905,5.2482147,-8.744461,"bus"
"1",-1.2713623,4.1877594,-7.6768646,"bus"
"1",-1.4641724,4.922104,-10.113174,"bus"
"1",-1.5558167,4.891159,-9.420486,"bus"
"1",-1.1559143,3.9449615,-8.485001,"bus"
"1",-2.044983,4.8042755,-8.250534,"bus"
"1",-0.93692017,3.8568878,-8.706375,"bus"
"1",-1.2832642,4.133011,-9.168167,"bus"
"1",-0.9583435,3.6545563,-8.105331,"bus"
"1",-0.6631775,4.813797,-9.413345,"bus"
"1",-1.0630798,4.7138214,-7.9767914,"bus"
"1",-1.1083069,4.0973053,-9.044388,"bus"
"1",-0.88217163,4.692398,-10.000107,"bus"
"1",-1.0916443,4.600754,-9.107468,"bus"
"1",-1.526062,4.7792816,-9.4145355,"bus"
"1",-0.4894104,3.735489,-8.492142,"bus"
"1",-0.36325073,4.8102264,-9.691849,"bus"
"1",-0.9071655,5.0744476,-10.5952,"bus"
"1",-1.6105652,4.7923737,-9.078903,"bus"
"1",-1.4356079,3.4355621,-7.8161163,"bus"
"1",-1.7355347,4.5805206,-9.181259,"bus"
"1",-1.0571289,3.8723602,-8.80278,"bus"
"1",-1.1999512,3.6926422,-7.980362,"bus"
"1",0.27111816,4.305588,-8.775406,"bus"
"1",-0.0038146973,4.718582,-8.532608,"bus"
"1",-0.40014648,4.7209625,-9.220535,"bus"
"1",-0.70840454,3.8568878,-8.123184,"bus"
"1",-1.3213501,3.922348,-8.524277,"bus"
"1",-1.0464172,3.5260162,-9.8120575,"bus"
"1",-1.3701477,3.524826,-8.902756,"bus"
"1",-0.9750061,4.184189,-8.536179,"bus"
"1",-0.56915283,4.198471,-8.575455,"bus"
"1",-0.49417114,4.6555023,-9.535934,"bus"
"1",-0.72506714,4.5471954,-8.720657,"bus"
"1",-1.1273499,4.1115875,-9.106277,"bus"
"1",-1.4594116,4.421036,-8.984879,"bus"
"1",-1.6141357,4.371048,-8.332657,"bus"
"1",-1.6105652,4.4948273,-8.361221,"bus"
"1",-1.12854,4.0925446,-8.281479,"bus"
"1",-0.6881714,4.4948273,-8.850388,"bus"
"1",-1.12854,4.9244843,-9.4657135,"bus"
"1",-1.3796692,5.314865,-9.8441925,"bus"
"1",-1.0606995,5.2851105,-8.637344,"bus"
"1",-0.50131226,4.5424347,-9.18483,"bus"
"1",-1.3796692,4.7257233,-8.914658,"bus"
"1",-1.5153503,4.299637,-8.212448,"bus"
"1",-1.3380127,4.3734283,-8.782547,"bus"
"1",-1.391571,4.680496,-8.283859,"bus"
"1",-0.44299316,4.5745697,-8.970596,"bus"
"1",-0.8190918,5.5362396,-9.162216,"bus"
"1",-0.18115234,5.2208405,-7.808975,"bus"
"1",0.27468872,4.5721893,-8.379074,"bus"
"1",0.15209961,5.0161285,-8.759933,"bus"
"1",-0.012145996,4.9970856,-8.407639,"bus"
"1",-0.44537354,5.1649017,-8.487381,"bus"
"1",-0.79052734,5.5279083,-9.31337,"bus"
"1",-0.948822,4.629318,-8.250534,"bus"
"1",-0.96310425,4.230606,-8.471909,"bus"
"1",-0.83813477,4.19133,-8.470718,"bus"
"1",-1.2689819,4.1103973,-8.402878,"bus"
"1",-1.1678162,4.632889,-8.599258,"bus"
"1",-1.0059509,5.0982513,-8.878952,"bus"
"1",-0.72387695,5.455307,-9.2669525,"bus"
"1",-0.84646606,5.313675,-8.1957855,"bus"
"1",-0.49417114,4.839981,-7.7482758,"bus"
"1",-0.2501831,4.665024,-8.41716,"bus"
"1",-0.1680603,4.8935394,-8.410019,"bus"
"1",-0.028808594,5.4196014,-8.887283,"bus"
"1",-0.060943604,5.4457855,-8.812302,"bus"
"1",-0.7429199,5.4648285,-9.05748,"bus"
"1",-0.5477295,5.3446198,-8.709946,"bus"
"1",-1.134491,4.994705,-8.133896,"bus"
"1",-0.92977905,4.4388885,-7.9827423,"bus"
"1",-0.097839355,4.5995636,-8.09819,"bus"
"1",0.16519165,4.7519073,-7.8184967,"bus"
"1",0.06640625,5.306534,-8.271957,"bus"
"1",0.39608765,5.392227,-8.925369,"bus"
"1",-0.11331177,4.800705,-7.787552,"bus"
"1",-0.538208,4.9828033,-7.9065704,"bus"
"1",-0.4060974,4.6745453,-7.7780304,"bus"
"1",-0.9238281,4.923294,-8.962265,"bus"
"1",-0.92025757,5.2267914,-8.99559,"bus"
"1",-0.93930054,5.9789886,-9.320511,"bus"
"1",-1.0940247,6.1384735,-8.9944,"bus"
"1",-1.1237793,6.1396637,-9.346695,"bus"
"1",-0.473938,5.6005096,-8.658768,"bus"
"1",-0.32040405,5.5231476,-9.12413,"bus"
"1",-0.72506714,4.3555756,-7.1579437,"bus"
"1",-1.2939758,4.4972076,-7.847061,"bus"
"1",-0.85717773,4.4722137,-7.506668,"bus"
"1",-0.17163086,4.711441,-8.058914,"bus"
"1",-0.16210938,5.1137238,-7.594742,"bus"
"1",-0.19900513,5.526718,-8.502853,"bus"
"1",-0.4156189,5.781418,-8.629013,"bus"
"1",-0.32159424,5.7718964,-8.549271,"bus"
"1",-0.46322632,6.3384247,-9.115799,"bus"
"1",-0.14544678,6.3360443,-8.571884,"bus"
"1",-0.3572998,6.0349274,-8.2981415,"bus"
"1",-0.589386,5.9194794,-8.513565,"bus"
"1",-0.77505493,5.5755157,-7.7970734,"bus"
"1",-0.2668457,5.807602,-8.336227,"bus"
"1",-0.119262695,6.096817,-8.204117,"bus"
"1",-0.10140991,6.038498,-8.360031,"bus"
"1",-0.3085022,5.7028656,-7.7518463,"bus"
"1",-0.5155945,5.436264,-7.64592,"bus"
"1",-0.4656067,5.0363617,-7.3281403,"bus"
"1",-0.4965515,5.320816,-7.353134,"bus"
"1",0.059265137,5.660019,-7.4519196,"bus"
"1",0.21875,5.9004364,-8.127945,"bus"
"1",-0.6227112,5.636215,-7.3757477,"bus"
"1",-0.5155945,5.3672333,-7.243637,"bus"
"1",-0.5560608,5.750473,-7.58284,"bus"
"1",-0.84051514,6.2027435,-8.238632,"bus"
"1",-0.5786743,6.5478973,-9.319321,"bus"
"1",-0.61676025,7.6714325,-9.439529,"bus"
"1",-0.049041748,6.834732,-8.849197,"bus"
"1",-0.30493164,7.686905,-9.882278,"bus"
"1",-0.28945923,7.1715546,-7.3936005,"bus"
