"x","y","z","class"
-2.01581144332886,-6.90551614761353,-6.37432289123535,"cycling"
-3.05095791816711,-8.86684608459473,-5.76140689849854,"cycling"
-3.88179898262024,-9.92923355102539,-6.02019357681274,"cycling"
-4.19506692886353,-9.54786396026611,-5.9248514175415,"cycling"
-4.12696552276611,-8.28117179870605,-5.4208984375,"cycling"
-3.5412905216217,-8.68978214263916,-4.82160329818726,"cycling"
-4.12696552276611,-9.13925361633301,-5.08038949966431,"cycling"
-5.23021364212036,-7.89980173110962,-5.25745439529419,"cycling"
-4.97142696380615,-8.55357837677002,-4.9169454574585,"cycling"
-3.84093809127808,-9.72492790222168,-4.93056583404541,"cycling"
-2.73768997192383,-9.13925361633301,-4.69901990890503,"cycling"
-3.35060548782349,-8.00876426696777,-3.99076199531555,"cycling"
-4.05886363983154,-8.39013385772705,-4.50833511352539,"cycling"
-3.47318863868713,-9.20735549926758,-5.25745439529419,"cycling"
-2.73768997192383,-8.79874420166016,-4.69901990890503,"cycling"
-2.26097774505615,-8.97580909729004,-4.98504734039307,"cycling"
-2.36994051933289,-9.42528057098389,-5.63882398605347,"cycling"
-2.75131034851074,-8.40375423431396,-5.81588840484619,"cycling"
-2.54700493812561,-7.99514389038086,-6.52414655685425,"cycling"
-1.96133005619049,-8.74426364898682,-7.08258104324341,"cycling"
-2.3835608959198,-6.63310956954956,-6.48328542709351,"cycling"
-4.48109436035156,-6.2244987487793,-6.90551614761353,"cycling"
-4.08610439300537,-5.84312915802002,-5.81588840484619,"cycling"
-2.43804216384888,-3.65025329589844,-7.31412649154663,"cycling"
-2.02943181991577,-3.55491065979004,-8.18582916259766,"cycling"
-0.803600490093231,-4.05886363983154,-7.51843214035034,"cycling"
-0.517573237419128,-2.98285603523254,-8.41737461090088,"cycling"
-0.980665028095245,-1.37565517425537,-7.2324047088623,"cycling"
-1.11686849594116,-1.44375681877136,-7.35498762130737,"cycling"
-0.558434247970581,-2.45166254043579,-8.00876426696777,"cycling"
-0.612915635108948,-2.16563534736633,-7.68187618255615,"cycling"
-1.6480621099472,-2.32907938957214,-6.5786280632019,"cycling"
-2.02943181991577,-4.93056583404541,-7.02809953689575,"cycling"
-1.6480621099472,-6.74207210540771,-6.5786280632019,"cycling"
-1.53909933567047,-8.86684608459473,-6.14277696609497,"cycling"
-2.61510682106018,-10.9643802642822,-6.49690580368042,"cycling"
-3.96352124214172,-9.67044734954834,-5.43451881408691,"cycling"
-4.97142696380615,-7.42308950424194,-4.64453840255737,"cycling"
-5.40727806091309,-9.09839248657227,-4.54919624328613,"cycling"
-5.14849138259888,-9.76578903198242,-4.75350141525269,"cycling"
-4.2631688117981,-9.31631755828857,-5.81588840484619,"cycling"
-3.40508699417114,-10.0518169403076,-6.23811912536621,"cycling"
-3.11905956268311,-10.2969827651978,-5.9248514175415,"cycling"
-2.86027312278748,-9.41166019439697,-5.08038949966431,"cycling"
-3.65025329589844,-8.58081912994385,-3.66387343406677,"cycling"
-4.18144655227661,-8.33565235137939,-3.65025329589844,"cycling"
-4.08610439300537,-8.58081912994385,-4.65815877914429,"cycling"
-3.88179898262024,-8.79874420166016,-5.10763025283813,"cycling"
-3.35060548782349,-9.0302906036377,-5.81588840484619,"cycling"
-2.73768997192383,-8.96218872070312,-5.63882398605347,"cycling"
-2.36994051933289,-8.96218872070312,-5.63882398605347,"cycling"
-3.21440196037292,-6.1700177192688,-5.52986097335815,"cycling"
-2.99647641181946,-6.70121097564697,-7.19154357910156,"cycling"
-2.36994051933289,-5.9248514175415,-8.45823574066162,"cycling"
-2.2064962387085,-4.35851144790649,-6.42880392074585,"cycling"
-1.6480621099472,-4.22230768203735,-6.23811912536621,"cycling"
-0.749119102954865,-4.35851144790649,-7.58653354644775,"cycling"
-1.57996034622192,-2.68320846557617,-7.49119138717651,"cycling"
-1.60720098018646,-1.21221089363098,-6.75569248199463,"cycling"
-0.258786618709564,-0.626536011695862,-6.74207210540771,"cycling"
-0.326888352632523,-1.67530274391174,-6.81017398834229,"cycling"
-1.10324811935425,-2.68320846557617,-6.68759059906006,"cycling"
-1.29393303394318,-3.37784624099731,-6.81017398834229,"cycling"
-2.12477421760559,-5.76140689849854,-7.06896066665649,"cycling"
-2.57424569129944,-7.72273731231689,-7.02809953689575,"cycling"
-3.0373375415802,-9.07115173339844,-6.41518354415894,"cycling"
-3.84093809127808,-8.34927272796631,-5.59796285629272,"cycling"
-4.12696552276611,-8.56719875335693,-5.08038949966431,"cycling"
-4.61729764938354,-10.1743993759155,-5.20297288894653,"cycling"
-4.54919624328613,-9.92923355102539,-5.82950878143311,"cycling"
-4.38575220108032,-9.4389009475708,-5.9248514175415,"cycling"
-4.30402994155884,-9.71130752563477,-5.74778652191162,"cycling"
-3.89541935920715,-10.2288808822632,-6.19725799560547,"cycling"
-3.82731771469116,-9.13925361633301,-5.13487100601196,"cycling"
-3.77283620834351,-8.11772727966309,-4.04524326324463,"cycling"
-3.21440196037292,-8.04962539672852,-4.03162288665771,"cycling"
-2.45166254043579,-8.68978214263916,-4.54919624328613,"cycling"
-2.61510682106018,-9.52062320709229,-5.52986097335815,"cycling"
-2.92837476730347,-9.09839248657227,-5.20297288894653,"cycling"
-2.19287610054016,-8.7306432723999,-4.86246395111084,"cycling"
-1.11686849594116,-9.83389091491699,-5.81588840484619,"cycling"
-1.4846179485321,-9.60234546661377,-6.14277696609497,"cycling"
-2.61510682106018,-7.36860799789429,-6.66034984588623,"cycling"
-2.15201497077942,-7.43670988082886,-7.30050659179688,"cycling"
-1.70254349708557,-7.31412649154663,-7.68187618255615,"cycling"
-1.83874690532684,-4.75350141525269,-7.19154357910156,"cycling"
-2.01581144332886,-3.65025329589844,-7.12344169616699,"cycling"
-2.08391308784485,-2.58786606788635,-7.35498762130737,"cycling"
-2.01581144332886,-1.37565517425537,-7.06896066665649,"cycling"
-1.53909933567047,-0.980665028095245,-6.48328542709351,"cycling"
0.163444176316261,-0.844461560249329,-5.35279655456543,"cycling"
0.749119102954865,-1.21221089363098,-5.54348134994507,"cycling"
-0.681017398834229,-1.4846179485321,-6.34708213806152,"cycling"
-1.83874690532684,-3.50042939186096,-6.42880392074585,"cycling"
-2.31545901298523,-6.61948919296265,-6.76931285858154,"cycling"
-2.32907938957214,-8.58081912994385,-6.75569248199463,"cycling"
-2.79217123985291,-8.51271724700928,-6.02019357681274,"cycling"
-3.05095791816711,-8.18582916259766,-5.36641693115234,"cycling"
-3.63663291931152,-9.47976207733154,-5.69330549240112,"cycling"
-4.38575220108032,-10.0109558105469,-6.36070251464844,"cycling"
-4.72626066207886,-9.13925361633301,-5.35279655456543,"cycling"
-4.93056583404541,-9.38441944122314,-4.93056583404541,"cycling"
-4.30402994155884,-10.7192134857178,-6.5786280632019,"cycling"
-3.77283620834351,-10.2969827651978,-6.25173950195312,"cycling"
-3.09181904792786,-8.96218872070312,-4.69901990890503,"cycling"
-2.62872719764709,-8.18582916259766,-3.88179898262024,"cycling"
-2.61510682106018,-8.10410690307617,-3.94990086555481,"cycling"
-2.68320846557617,-8.86684608459473,-5.20297288894653,"cycling"
-3.21440196037292,-8.96218872070312,-5.13487100601196,"cycling"
-2.75131034851074,-9.20735549926758,-4.87608432769775,"cycling"
-2.07029294967651,-9.30269718170166,-5.18935251235962,"cycling"
-2.68320846557617,-9.0302906036377,-6.14277696609497,"cycling"
-2.66958808898926,-8.28117179870605,-7.06896066665649,"cycling"
-1.66168236732483,-8.24031066894531,-7.19154357910156,"cycling"
-0.926183640956879,-7.80445909500122,-6.68759059906006,"cycling"
-2.50614404678345,-3.37784624099731,-4.60367774963379,"cycling"
-2.86027312278748,-1.87960803508759,-6.8237943649292,"cycling"
-1.94770967960358,-0.626536011695862,-6.26535987854004,"cycling"
-1.40289580821991,-0.23154591023922,-6.04743432998657,"cycling"
-2.02943181991577,-2.12477421760559,-9.23459529876709,"cycling"
-2.32907938957214,-2.75131034851074,-9.52062320709229,"cycling"
-1.66168236732483,-2.98285603523254,-6.75569248199463,"cycling"
-1.7161637544632,-6.23811912536621,-7.24602508544922,"cycling"
-2.45166254043579,-8.92132759094238,-6.59224843978882,"cycling"
-3.0373375415802,-8.51271724700928,-5.58434247970581,"cycling"
-3.41870737075806,-8.86684608459473,-5.59796285629272,"cycling"
-4.12696552276611,-10.7873153686523,-6.02019357681274,"cycling"
-4.31765031814575,-11.1550645828247,-5.979332447052,"cycling"
-3.63663291931152,-10.7873153686523,-5.63882398605347,"cycling"
-3.89541935920715,-11.0869626998901,-6.36070251464844,"cycling"
-4.6717791557312,-10.3242235183716,-6.52414655685425,"cycling"
-3.2825038433075,-8.2266902923584,-3.75921607017517,"cycling"
-2.62872719764709,-8.29479217529297,-4.09972476959229,"cycling"
-2.66958808898926,-8.51271724700928,-5.05314922332764,"cycling"
-3.29612421989441,-8.6353006362915,-4.87608432769775,"cycling"
-3.09181904792786,-9.71130752563477,-5.69330549240112,"cycling"
-2.75131034851074,-10.1199188232422,-5.979332447052,"cycling"
-2.91475439071655,-8.62168025970459,-5.69330549240112,"cycling"
-2.3835608959198,-8.00876426696777,-6.48328542709351,"cycling"
-1.57996034622192,-8.33565235137939,-7.06896066665649,"cycling"
-2.08391308784485,-7.49119138717651,-7.02809953689575,"cycling"
-1.52547895908356,-6.10191583633423,-7.12344169616699,"cycling"
-1.0623871088028,-4.80798292160034,-6.9736180305481,"cycling"
-2.73768997192383,-3.20078182220459,-8.06324577331543,"cycling"
-2.99647641181946,-1.96133005619049,-8.02238464355469,"cycling"
-2.07029294967651,-0.463091820478439,-6.21087837219238,"cycling"
-1.60720098018646,0.381369739770889,-6.25173950195312,"cycling"
-0.558434247970581,-0.394990086555481,-6.95999765396118,"cycling"
-0.694637715816498,-2.30183887481689,-7.19154357910156,"cycling"
-1.15772950649261,-3.88179898262024,-7.17792320251465,"cycling"
-1.90684866905212,-5.03952884674072,-6.81017398834229,"cycling"
-2.86027312278748,-6.40156364440918,-6.0746750831604,"cycling"
-2.80579161643982,-7.77721834182739,-5.76140689849854,"cycling"
-3.09181904792786,-8.55357837677002,-5.52986097335815,"cycling"
-3.89541935920715,-10.0109558105469,-5.979332447052,"cycling"
-4.42661285400391,-11.1278238296509,-6.68759059906006,"cycling"
-4.19506692886353,-10.5830097198486,-6.42880392074585,"cycling"
-4.30402994155884,-9.71130752563477,-6.04743432998657,"cycling"
-4.14058589935303,-8.81236457824707,-5.43451881408691,"cycling"
-2.91475439071655,-8.67616176605225,-4.97142696380615,"cycling"
-2.50614404678345,-8.58081912994385,-5.20297288894653,"cycling"
-2.98285603523254,-8.67616176605225,-5.18935251235962,"cycling"
-3.29612421989441,-10.4604272842407,-5.81588840484619,"cycling"
-3.88179898262024,-11.3593702316284,-6.23811912536621,"cycling"
-4.50833511352539,-8.92132759094238,-4.54919624328613,"cycling"
-3.45956826210022,-8.09048652648926,-4.48109436035156,"cycling"
-2.45166254043579,-8.97580909729004,-6.48328542709351,"cycling"
-2.54700493812561,-8.10410690307617,-6.90551614761353,"cycling"
-3.11905956268311,-7.66825580596924,-7.58653354644775,"cycling"
-2.12477421760559,-6.33346176147461,-7.81807947158813,"cycling"
-1.66168236732483,-5.14849138259888,-7.13706207275391,"cycling"
-2.61510682106018,-3.9362804889679,-6.52414655685425,"cycling"
-2.75131034851074,-2.24735736846924,-6.25173950195312,"cycling"
-1.89322829246521,-1.02152609825134,-5.80226802825928,"cycling"
-0.871702253818512,0.0408610440790653,-5.65244436264038,"cycling"
-1.10324811935425,-0.463091820478439,-6.18363809585571,"cycling"
-0.871702253818512,-1.96133005619049,-5.87036991119385,"cycling"
-0.572054624557495,-2.69682884216309,-5.59796285629272,"cycling"
-1.6480621099472,-3.63663291931152,-6.52414655685425,"cycling"
-2.80579161643982,-5.89761066436768,-6.59224843978882,"cycling"
-2.99647641181946,-7.32774686813354,-6.42880392074585,"cycling"
-4.38575220108032,-11.0324811935425,-6.59224843978882,"cycling"
-4.37213182449341,-10.569390296936,-6.34708213806152,"cycling"
-4.68539953231812,-10.4059457778931,-6.42880392074585,"cycling"
-3.88179898262024,-9.99733543395996,-6.18363809585571,"cycling"
-3.29612421989441,-8.81236457824707,-5.14849138259888,"cycling"
-3.77283620834351,-8.18582916259766,-5.14849138259888,"cycling"
-3.58215141296387,-8.39013385772705,-4.86246395111084,"cycling"
-3.11905956268311,-9.31631755828857,-5.14849138259888,"cycling"
-4.00438213348389,-9.3435583114624,-5.35279655456543,"cycling"
-4.08610439300537,-8.81236457824707,-5.25745439529419,"cycling"
-2.54700493812561,-9.5342435836792,-5.96571207046509,"cycling"
-2.01581144332886,-9.5342435836792,-6.52414655685425,"cycling"
-2.62872719764709,-7.95428323745728,-6.70121097564697,"cycling"
-2.36994051933289,-6.11553621292114,-6.93275690078735,"cycling"
-1.60720098018646,-5.48900032043457,-7.53205251693726,"cycling"
-1.6480621099472,-4.9169454574585,-7.40946912765503,"cycling"
-2.80579161643982,-3.37784624099731,-5.9248514175415,"cycling"
-2.86027312278748,-1.87960803508759,-5.63882398605347,"cycling"
-1.4846179485321,-0.694637715816498,-6.19725799560547,"cycling"
-0.612915635108948,0.054481390863657,-5.69330549240112,"cycling"
-0.0953424349427223,-0.476712167263031,-6.36070251464844,"cycling"
-1.04876673221588,-2.77855086326599,-6.90551614761353,"cycling"
-1.90684866905212,-3.21440196037292,-6.64672946929932,"cycling"
-1.77064526081085,-3.02371716499329,-6.29260063171387,"cycling"
-2.99647641181946,-6.41518354415894,-6.36070251464844,"cycling"
-3.21440196037292,-8.79874420166016,-6.3198413848877,"cycling"
-2.80579161643982,-8.18582916259766,-5.76140689849854,"cycling"
-3.70473456382751,-9.08477210998535,-5.29831504821777,"cycling"
-4.50833511352539,-10.5149087905884,-5.87036991119385,"cycling"
-5.33917617797852,-9.87475204467773,-6.29260063171387,"cycling"
-5.47537994384766,-9.83389091491699,-5.979332447052,"cycling"
-4.54919624328613,-9.99733543395996,-6.29260063171387,"cycling"
-4.31765031814575,-9.20735549926758,-6.36070251464844,"cycling"
-3.75921607017517,-8.60805988311768,-4.97142696380615,"cycling"
-3.59577178955078,-8.74426364898682,-4.37213182449341,"cycling"
-4.54919624328613,-8.51271724700928,-5.13487100601196,"cycling"
-4.38575220108032,-8.34927272796631,-5.31193542480469,"cycling"
-3.33698511123657,-9.37079906463623,-5.61158323287964,"cycling"
-2.92837476730347,-9.38441944122314,-5.81588840484619,"cycling"
-3.29612421989441,-8.81236457824707,-6.08829545974731,"cycling"
-3.51404976844788,-8.62168025970459,-7.12344169616699,"cycling"
-3.59577178955078,-7.61377429962158,-7.35498762130737,"cycling"
-3.58215141296387,-6.04743432998657,-6.79655361175537,"cycling"
-3.71835494041443,-4.98504734039307,-7.53205251693726,"cycling"
-2.54700493812561,-4.22230768203735,-8.06324577331543,"cycling"
